zip_code,city,region
68832,Doniphan,Central Nebraska
68833,Dunning,Central Nebraska
68835,Elba,Central Nebraska
68836,Elm Creek,Central Nebraska
68838,Farwell,Central Nebraska
68840,Gibbon,Central Nebraska
68841,Giltner,Central Nebraska
68842,Greeley,Central Nebraska
68843,Hampton,Central Nebraska
68845,Kearney,Central Nebraska
68846,Hordville,Central Nebraska
68847,Kearney,Central Nebraska
68849,Kearney,Central Nebraska
68850,Lexington,Central Nebraska
68852,Litchfield,Central Nebraska
68853,Loup City,Central Nebraska
68854,Marquette,Central Nebraska
68855,Mason City,Central Nebraska
68856,Merna,Central Nebraska
68858,Miller,Central Nebraska
68859,North Loup,Central Nebraska
68860,Oconto,Central Nebraska
68862,Ord,Central Nebraska
68863,Overton,Central Nebraska
68864,Palmer,Central Nebraska
68865,Phillips,Central Nebraska
68866,Pleasanton,Central Nebraska
68869,Ravenna,Central Nebraska
68870,Riverdale,Central Nebraska
68871,Rockville,Central Nebraska
68872,Saint Libory,Central Nebraska
68873,Saint Paul,Central Nebraska
68874,Sargent,Central Nebraska
68875,Scotia,Central Nebraska
68876,Shelton,Central Nebraska
68878,Sumner,Central Nebraska
68879,Taylor,Central Nebraska
68882,Wolbach,Central Nebraska
68883,Wood River,Central Nebraska
68901,Hastings,South Central Nebraska
68920,Alma,South Central Nebraska
68922,Arapahoe,South Central Nebraska
68924,Axtell,South Central Nebraska
68925,Ayr,South Central Nebraska
68926,Beaver City,South Central Nebraska
68927,Bertrand,South Central Nebraska
68928,Bladen,South Central Nebraska
68929,Bloomington,South Central Nebraska
68930,Blue Hill,South Central Nebraska
68932,Campbell,South Central Nebraska
68933,Clay Center,South Central Nebraska
68934,Deweese,South Central Nebraska
68935,Edgar,South Central Nebraska
68936,Edison,South Central Nebraska
68937,Elwood,South Central Nebraska
68938,Fairfield,South Central Nebraska
68939,Franklin,South Central Nebraska
68940,Funk,South Central Nebraska
68941,Glenvil,South Central Nebraska
68942,Guide Rock,South Central Nebraska
68943,Hardy,South Central Nebraska
68944,Harvard,South Central Nebraska
68945,Heartwell,South Central Nebraska
68947,Hildreth,South Central Nebraska
68948,Holbrook,South Central Nebraska
68949,Holdrege,South Central Nebraska
68950,Holstein,South Central Nebraska
68955,Juniata,South Central Nebraska
68956,Kenesaw,South Central Nebraska
68957,Lawrence,South Central Nebraska
68958,Loomis,South Central Nebraska
68959,Minden,South Central Nebraska
68961,Nelson,South Central Nebraska
68966,Orleans,South Central Nebraska
68967,Oxford,South Central Nebraska
68970,Red Cloud,South Central Nebraska
68971,Republican City,South Central Nebraska
68972,Riverton,South Central Nebraska
68973,Roseland,South Central Nebraska
68974,Ruskin,South Central Nebraska
68977,Stamford,South Central Nebraska
68978,Superior,South Central Nebraska
68979,Sutton,South Central Nebraska
68980,Trumbull,South Central Nebraska
68981,Upland,South Central Nebraska
68982,Wilcox,South Central Nebraska
69001,Mc Cook,Southwest Nebraska
69020,Bartley,Southwest Nebraska
69021,Benkelman,Southwest Nebraska
69022,Cambridge,Southwest Nebraska
69023,Champion,Southwest Nebraska
69024,Culbertson,Southwest Nebraska
69025,Curtis,Southwest Nebraska
69026,Danbury,Southwest Nebraska
69027,Enders,Southwest Nebraska
69028,Eustis,Southwest Nebraska
69029,Farnam,Southwest Nebraska
69030,Haigler,Southwest Nebraska
69032,Hayes Center,Southwest Nebraska
69033,Imperial,Southwest Nebraska
69034,Indianola,Southwest Nebraska
69037,Max,Southwest Nebraska
69038,Maywood,Southwest Nebraska
69039,Moorefield,Southwest Nebraska
69040,Palisade,Southwest Nebraska
69041,Parks,Southwest Nebraska
69042,Stockville,Southwest Nebraska
69043,Stratton,Southwest Nebraska
69044,Trenton,Southwest Nebraska
69045,Wauneta,Southwest Nebraska
69046,Wilsonville,Southwest Nebraska
69101,North Platte,Western Nebraska
69120,Arnold,Western Nebraska
69121,Arthur,Western Nebraska
69123,Brady,Western Nebraska
69127,Brule,Western Nebraska
69130,Cozad,Western Nebraska
69134,Elsie,Western Nebraska
69138,Gothenburg,Western Nebraska
69140,Grant,Western Nebraska
69142,Halsey,Western Nebraska
69143,Hershey,Western Nebraska
69144,Keystone,Western Nebraska
69146,Lemoyne,Western Nebraska
69150,Madrid,Western Nebraska
69151,Maxwell,Western Nebraska
69152,Mullen,Western Nebraska
69153,Ogallala,Western Nebraska
69155,Paxton,Western Nebraska
69157,Purdum,Western Nebraska
69161,Seneca,Western Nebraska
69163,Stapleton,Western Nebraska
69165,Sutherland,Western Nebraska
69166,Thedford,Western Nebraska
69167,Tryon,Western Nebraska
69168,Venango,Western Nebraska
69169,Wallace,Western Nebraska
69170,Wellfleet,Western Nebraska
69201,Valentine,North Central Nebraska
69210,Ainsworth,North Central Nebraska
69211,Cody,North Central Nebraska
69212,Crookston,North Central Nebraska
69214,Johnstown,North Central Nebraska
69216,Kilgore,North Central Nebraska
69217,Long Pine,North Central Nebraska
69218,Merriman,North Central Nebraska
69221,Wood Lake,North Central Nebraska
69350,Hyannis,North Central Nebraska
